company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,website
AIG,1760.0,AIG,+ de 10.001 funcionários,1.0,"New York, New York",Seguros,123,https://www.linkedin.com/company/1760/about/,"Property Casualty Insurance, Life and Retirement, Insurance, Claims, Underwriting e Actuarial",http://www.aig.com
AINA Software Inc.,38767670.0,Aina Inc.,2-10 funcionários,1.0,"Montreal, Quebec",Software,not found,https://www.linkedin.com/company/38767670/about/,"Business Intelligence, Business to Consumer Applications, Business to Business Applications, Software Development, AI Research & Development, analytics, Machine Learning, Marketing e Branding",https://www.aina.ai
,,Ainda será criada,,0.0,,,,,,
AIQON,2633409.0,Aiqon,11-50 funcionários,1.0,"São Paulo, SP",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/2633409/about/,"Cost Reduction, Sustainability, International Green Certification, EcoEfficiency, IT Management, Printing Services, MPS, IT Auditing, IT Compliance, Energy Savings, LGPD, Compliance e Computer Management",http://www.aiqon.com.br
Air Caraïbes,139630.0,Air Caraïbes,501-1.000 funcionários,1.0,"Les Abymes, FWI",Linhas aéreas/Aviação,not found,https://www.linkedin.com/company/139630/about/,,http://www.aircaraibes.com
Air Serbia,59284.0,Air Serbia,1.001-5.000 funcionários,1.0,,Linhas aéreas/Aviação,not found,https://www.linkedin.com/company/59284/about/,"transport, airline, aviation, travel, hospitality e cargo",http://www.airserbia.com
AIR Technology Services,254470.0,AIR Technology Services,11-50 funcionários,1.0,"Waukesha, WI",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/254470/about/,"Managed Services, Business Continuity Planning, IT Consulting, Cloud Services, Hosted Exchange, Security, Email / Spam Protection, Help Desk Services, Firewall / Security e Virtualization",http://www.airtechnologyservices.com
AIR Worldwide,17864.0,Air Worldwide,501-1.000 funcionários,1.0,"Boston, Massachusetts",Software,6,https://www.linkedin.com/company/17864/about/,"catastrophe modeling, financial, reinsurance, risk management, property insurance, casualty insurance, risk analysis, risk management software, cyber risk e risk management solutions",https://www.air-worldwide.com/Social/Social-Media-Hub/
Airbnb,309694.0,Airbnb,5.001-10.000 funcionários,1.0,"San Francisco, CA",Internet,86,https://www.linkedin.com/company/309694/about/,"travel accommodations, collaborative economy e hospitality",http://airbnb.com
Airpro Oy,66690.0,AirPR,1.001-5.000 funcionários,1.0,"Vantaa, -",Linhas aéreas/Aviação,not found,https://www.linkedin.com/company/66690/about/,"Airport Services, Cabin Crew, Airport Logistics, Ground Handling e Travel Service 24h @ Helsinki Airport",http://www.airpro.fi
Airware,2599582.0,Airware,51-200 funcionários,1.0,"San Francisco, California",Automação industrial,not found,https://www.linkedin.com/company/2599582/about/,"Commercial drones, Unmanned Aerial Vehicles, UAS, Robotics, UAV, Construction, Mining, Insurance, Commercial Insurance, Residential Insurance e drone analytics",http://www.airware.com
AIS Technolabs Pvt Ltd,3669075.0,AIS Technolabs,51-200 funcionários,1.0,"Ahmedabad, Gujarat",Terceirização e offshoring,not found,https://www.linkedin.com/company/3669075/about/,"Mobile Development, Web Design & Development, Open Source Customization, Web Application Development, Customized Software Application Development, Internet Marketing, Hire Dedicated Developer, Unity3d Game Development e Mobile Game Development",http://www.aistechnolabs.com/
Akamai Technologies,3925.0,Akamai Technologies,5.001-10.000 funcionários,1.0,"Cambridge, MA",Internet,37,https://www.linkedin.com/company/3925/about/,"Edge Security, Web and Mobile Performance, Enterprise Access e Video Delivery Solutions",https://www.akamai.com
,,"Akkadian Holdings GP II, LLC",,0.0,,,,,,
Albemarle Corporation,162361.0,Albemarle Corporation,1.001-5.000 funcionários,1.0,"Charlotte, NC",Indústria química,17,https://www.linkedin.com/company/162361/about/,"Catalyst Solutions, Performance Chemicals, Lithium, Surface Treatment, Fine Chemistry Services e Bromine",http://www.albemarle.com
Alberici Constructors,54121.0,Alberici Constructors,1.001-5.000 funcionários,1.0,"St. Louis, MO",Construção,6,https://www.linkedin.com/company/54121/about/,"Automotive Construction, Commercial Building & Education Construction, Energy Construction, Healthcare Construction, Infrastructure Construction, Industrial Process Construction, Water & Wastewater Treatment Construction e Heavy Civil Construction",http://www.alberici.com
"Alberici Group, Inc.",15936124.0,Alberici Group,201-500 funcionários,1.0,"St. Louis, Missouri",Construção,not found,https://www.linkedin.com/company/15936124/about/,,http://albericigroup.com
Albertsons Companies,2911.0,Albertsons Companies,+ de 10.001 funcionários,1.0,"Boise, Idaho",Varejo,114,https://www.linkedin.com/company/2911/about/,,http://www.albertsonscompanies.com
ALEGRECARE INC.,55779820.0,"Alegrecare, Inc.",2-10 funcionários,1.0,"San Francisco, California",Prática médica,not found,https://www.linkedin.com/company/55779820/about/,,
Kayser Alex,9524401.0,Alex Kayser,2-10 funcionários,1.0,"New York, New York",,not found,https://www.linkedin.com/company/9524401/about/,,http://www.alexkayser.com
,,Alfa Isurance,,0.0,,,,,,
,,Alfa Logos Inc,,0.0,,,,,,
,,Alfa Logos Inc.,,0.0,,,,,,
Algert Global LLC,3787459.0,Algert Global LLC,11-50 funcionários,1.0,"San Francisco, CA",Gestão de investimentos,not found,https://www.linkedin.com/company/3787459/about/,,http://www.algertglobal.com
Algolia,2728700.0,ALGOLIA,201-500 funcionários,1.0,"San Francisco, California",Software,not found,https://www.linkedin.com/company/2728700/about/,"Search as a Service, Developer Tools, API, Search, SaaS e e-Commerce",https://www.algolia.com
,,"Algolia, Inc.",,0.0,,,,,,
,,Align Commerce Corporation,,0.0,,,,,,
Alitalia Società Aerea Italiana S.p.A.,6295.0,alitalia,+ de 10.001 funcionários,1.0,"Fiumicino, Roma",Linhas aéreas/Aviação,not found,https://www.linkedin.com/company/6295/about/,Air Passenger transportation e Best Airline Cuisine,https://www.alitalia.com
"Alitheon, Inc.",17918664.0,Alitheon,11-50 funcionários,1.0,"Bellevue, Washington",Software,4,https://www.linkedin.com/company/17918664/about/,"Authentication, Track and Trace, Cloud Computing, Artificial Intelligence, Machine Learning, Computer Vision, Optics, Machine vision, Traceability, Industry 4.0, Manufacturing, Amazon Web Services, Microsoft Azure, Analytics, Smart Factory e Digitalization",http://www.alitheon.com
ALIVE Events & Entertainment Solutions,1872879.0,Alive Events and Entertainment,11-50 funcionários,1.0,,Entretenimento,not found,https://www.linkedin.com/company/1872879/about/,,
