company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,website
,,Compology Inc.,,0.0,,,,,,
"CompuPro Services, Inc.",3836270.0,CompuPro Business Solutions,2-10 funcionários,1.0,,Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/3836270/about/,"Cloud Services, Systems Failure Recovery, Migration of Server Systems to Cloud, Business Systems Engineering, Cloud Systems Mangagement, Emergency Preparedness, Amazon Cloud Services API programming e .NET (C# & VB) Software & Middleware",http://www.compu-pro.com
"Computer Enterprises, Inc.",7175.0,"Computer Enterprises, Inc.",501-1.000 funcionários,1.0,"Pittsburgh, Pennsylvania",Tecnologia da informação e serviços,49,https://www.linkedin.com/company/7175/about/,"Microsoft Development, Digital Strategy, Application Maintenance and Support, Mobile Development, UX and Visual Design, Java and Open Source Development , Enterprise Information Management, Digital Marketing and Content Management, eCommerce, Quality Assurance and Testing, Project Management, Business Analysis, Flexible Capacity Staffing, Agile, IT Contracting, Project Services, Strategy, DevOps, Bots, Big Data, Managed Services, Database Services, Agile Transformation, Application Integration, BI, Application Modernization, Mobile Apps, Web Applications, IT Excellence, Technology Enablement e Operational Excellence",http://www.ceiamerica.com
Computers Plus,43940.0,COMPUTERS PLUS,2-10 funcionários,1.0,,Hardware,not found,https://www.linkedin.com/company/43940/about/,,
"Comscore, Inc.",7360.0,"Comscore, Inc.",1.001-5.000 funcionários,1.0,"Reston, VA",Internet,4,https://www.linkedin.com/company/7360/about/,"digital business analytics, audience measurement, advertising effectiveness, market research e mobile network analytics",http://www.comscore.com
Con Edison,163188.0,Con Edison,+ de 10.001 funcionários,1.0,"New York, NY",Serviços públicos,not found,https://www.linkedin.com/company/163188/about/,,http://www.coned.com
"XPO Logistics, Inc.",2430668.0,Con-way,+ de 10.001 funcionários,1.0,"Greenwich, CT",Logística e cadeia de suprimentos,266,https://www.linkedin.com/company/2430668/about/,"Freight Brokerage, Expedited Transportation, Global Forwarding, Intermodal, Last Mile, Contract Logistics e Supply Chain Management",http://www.xpo.com
"XPO Logistics, Inc.",2430668.0,Con-way Enterprise Services,+ de 10.001 funcionários,1.0,"Greenwich, CT",Logística e cadeia de suprimentos,266,https://www.linkedin.com/company/2430668/about/,"Freight Brokerage, Expedited Transportation, Global Forwarding, Intermodal, Last Mile, Contract Logistics e Supply Chain Management",http://www.xpo.com
Concept Art House,739681.0,Concept Art House,51-200 funcionários,1.0,"San Francisco, CA",Jogos de computador,not found,https://www.linkedin.com/company/739681/about/,"Video Games, Vector/Flash Production, Computer Games, Game Development, 3D Rigging, Modeling, Texturing, Animation, Game Art Outsourcing, Console Gaming, VFX, Concept Art, 2D Art, 3D Art, Facebook games, iOS games, Android games, mobile games, iPhone games e Illustrations",http://www.conceptarthouse.com
,,Concho Resources,,0.0,,,,,,
Confidential,18348487.0,Confidential,,1.0,"sydney, nsw",,63,https://www.linkedin.com/company/18348487/about/,,
Confluent,88873.0,Confluent,1.001-5.000 funcionários,1.0,"Mountain View, California",Software,74,https://www.linkedin.com/company/88873/about/,"Apache Kafka, Open Source, Stream Processing, Streaming Data, Event Streaming Platform e Event-Driven Architecture",http://confluent.io/
Connection Enterprise,162437.0,Connection Enterprise,,1.0,,Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/162437/about/,,http://www.connection.com/enterprise
Conning,33213.0,Conning,201-500 funcionários,1.0,"Hartford, CT",Gestão de investimentos,not found,https://www.linkedin.com/company/33213/about/,"Asset Management, Risk Solutions, Insurance Industry Research, Pension LDI Solutions, Liability-Driven Investing, Investment Accounting e Investment Reporting",http://Conning.com
Conning,33213.0,Conning & Company,201-500 funcionários,1.0,"Hartford, CT",Gestão de investimentos,not found,https://www.linkedin.com/company/33213/about/,"Asset Management, Risk Solutions, Insurance Industry Research, Pension LDI Solutions, Liability-Driven Investing, Investment Accounting e Investment Reporting",http://Conning.com
,,Conning Asset Management,,0.0,,,,,,
Consilux Tecnologia,1823286.0,Consilux Tecnologia,201-500 funcionários,1.0,"Curitiba, Paraná",Arquitetura e planejamento,not found,https://www.linkedin.com/company/1823286/about/,,http://www.consilux.com.br
,,"Construcs, Inc.",,0.0,,,,,,
IT Consultant,1485750.0,Consultant,51-200 funcionários,1.0,"Ladrón de Guevara, Jalisco",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/1485750/about/,"análisis de negocios , Desarrollo de software e consultoria de negocios.",http://www.itconsultant.com.mx
Continental Mills,21445.0,Continental Mills,501-1.000 funcionários,1.0,"Tukwila, WA",Produtos alimentícios,1,https://www.linkedin.com/company/21445/about/,dry mix bakery goods,http://www.continentalmills.com/
,,"Contract Freighters, Inc.",,0.0,,,,,,
Convergence Networks,326987.0,Convergence Networks,51-200 funcionários,1.0,"Portland, Oregon",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/326987/about/,"IT Support & Consulting, Managed Services, Cloud Integration, MSP, MSSP, Managed Services Providers, MS+SP, Information Security, Strategic vCIO Consulting, Cloud Solutions, Compliance, Compliance Management and Oversight, Security Management, Cybersecurity e Microsoft 365",http://www.convergencenetworks.com
,,Cooltool Inc,,0.0,,,,,,
,,Cooper Engineering Services Imc,,0.0,,,,,,
,,Corea Intgernational,,0.0,,,,,,
The Corner Bakery Café,62226404.0,Corner Bakery Cafe,11-50 funcionários,1.0,"Warwick, Rhode Island",Restaurantes,not found,https://www.linkedin.com/company/62226404/about/,,
Corner Office Advisors,43215.0,Corner Office,11-50 funcionários,1.0,"Gurgaon, Haryana",Consultoria de gerenciamento,1,https://www.linkedin.com/company/43215/about/,"Leadership Advisory, Leadership Progression, Leadership hiring, Leadership Transformation, TMT, Third Generation Family run Businesses, Professional Services, Conglomerates, Hi-Tech, CPG, Leadership Readiness, Consulting e Retail",http://www.corneroffice.co.in
,,"Cornershop Technologies, Inc.",,0.0,,,,,,
"Cornerstone Home Lending, Inc.",24157.0,"Cornerstone Home Lending, Inc.",1.001-5.000 funcionários,1.0,"Houston, Texas",Serviços financeiros,6,https://www.linkedin.com/company/24157/about/,"Residential Mortgages, FHA Loans e VA Loans",http://www.houseloan.com
CSC,10106.0,Corporation Service Company,1.001-5.000 funcionários,1.0,"Wilmington, Delaware",Serviços jurídicos,93,https://www.linkedin.com/company/10106/about/,"Digital Brand Services, Domain Name Management, Online Brand Protection, Online Enforcement Services, Cyber Security Services, Matter and Deal Management, Compliance and Governance, Transaction Services e Corporate Trust, Escrow, and SPE",https://www.cscglobal.com
Correlia Biosystems,8775625.0,Correlia Biosystems,2-10 funcionários,1.0,"Berkeley, California",Biotecnologia,1,https://www.linkedin.com/company/8775625/about/,"Life Sciences, Microfluidics, Clinical Diagnostics e Engineering",http://www.correliabio.com
Corteva Agriscience,18394014.0,Corteva Agriscience,+ de 10.001 funcionários,1.0,"Wilmington, Delaware",Agricultura,62,https://www.linkedin.com/company/18394014/about/,agriculture,http://www.corteva.com/
Corvalent Corporation,89011.0,corvalent,51-200 funcionários,1.0,"Cedar Park, Texas",Hardware,not found,https://www.linkedin.com/company/89011/about/,"Industrial Motherboard, Rack mount systems, embedded systems, Long Life Computing, Embedded Server, Industrial Servers, High performance Server, industrial computers, military computers, Medical PC, box pc, long life motherboards, American Manufacturing, Panel PC, IoT, IIoT, Internet of Things e IoT Software",http://www.corvalent.com
COSENTINO,816593.0,Cosentino,1.001-5.000 funcionários,1.0,"Cantoria, Almería",Materiais de construção,not found,https://www.linkedin.com/company/816593/about/,Cosentino Group produces and distributes high value innovative surfaces for the world of design and architecture.,https://we.cosentino.com/s/?language=en_GB&=&utm_source=Linkedin&utm_medium=Social&utm_campaign=Cosentino%20pro&utm_content=Cosentino%20Pro
"CoSo Cloud, LLC",203073.0,Coso Cloud LLC,51-200 funcionários,1.0,"Oakland, California",Educação à distância,not found,https://www.linkedin.com/company/203073/about/,"eLearning, web collaboration, virtual classroom, managed services, real-time collaboration, web events, virtual training, real-time collaboration, adobe connect, private cloud platform, CEBP, Managed services, Adobe Captivate Prime, customization e LMS Integration",https://www.cosocloud.com
Costco Wholesale,163225.0,Costco Wholesale,+ de 10.001 funcionários,1.0,"Seattle, WA",Varejo,21,https://www.linkedin.com/company/163225/about/,"Retail, Merchandising, Operations, E-commerce e Travel",http://www.costco.com
Costello Medical,2327412.0,Costello,51-200 funcionários,1.0,"Cambridge, East of England",Indústria farmacêutica,5,https://www.linkedin.com/company/2327412/about/,"Market Access, Medical Communication, Health Economics, Medical Education, Evidence Development, Health Technology Assessment, Publication Planning, Statistical Analysis, Scientific Writing e Advisory Boards",http://www.costellomedical.com
,,CotentStack,,0.0,,,,,,
,,"Couchsurfing International, Inc.",,0.0,,,,,,
"Brazil-Florida Business Council, Inc.",9410508.0,Council Inc.,2-10 funcionários,1.0,"Tampa, FL",Relações internacionais,not found,https://www.linkedin.com/company/9410508/about/,"International Networking, Business Relationships, Doing Business in Florida, Doing Business in Brazil, Investing in Brazil, Investing in Florida , Business Advisory, Business Group, US Brazil Trade, US Florida Trade, Brazilian Economy e Florida Economy",http://www.brazilfloridabusiness.com
,,County of LA Board of Supervisors,,0.0,,,,,,
Courtyard by Marriott,3012256.0,Courtyard by Marriott,+ de 10.001 funcionários,1.0,,Hotelaria,not found,https://www.linkedin.com/company/3012256/about/,,https://courtyard.marriott.com
,,Courtyard by Marriott York pa.,,0.0,,,,,,
Covail,9443957.0,COVAIL,11-50 funcionários,1.0,"Columbus, OH",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/9443957/about/,"cybersecurity, analytics, Artificial Intelligence, Automation, Intelligence Operations, Machine-Learning Operations (MLOps) Managed Services e Vulnerability Management",http://www.covail.com
,,Coverhound Inc,,0.0,,,,,,
Covington & Burling LLP,8387.0,Covington & Burling Llp,1.001-5.000 funcionários,1.0,"Washington, D.C.",Prática jurídica,not found,https://www.linkedin.com/company/8387/about/,,http://www.cov.com
Cox Automotive Inc.,3997420.0,Cox Automotive Inc.,+ de 10.001 funcionários,1.0,"Atlanta, GA",Indústria automotiva,110,https://www.linkedin.com/company/3997420/about/,,https://www.coxautoinc.com/
"Cozymeal, Inc.",3374789.0,Cozymeal,11-50 funcionários,1.0,"San Francisco, CA",Internet,1,https://www.linkedin.com/company/3374789/about/,"Cooking Classes, Team Building Activities, Personal Chefs, Catering, In-Home Dining, Food Tours, Tour Guides, Virtual Events e Mixology",http://www.cozymeal.com
,,CPG Restaurant,,0.0,,,,,,
New England CR LLC,57678920.0,CR England,2-10 funcionários,1.0,,,not found,https://www.linkedin.com/company/57678920/about/,,
,,cr52,,0.0,,,,,,
Creative Mint,18608807.0,Creative:Mint,2-10 funcionários,1.0,"San Francisco, CA",Internet,not found,https://www.linkedin.com/company/18608807/about/,"blockchain, ICO, Cryptocurrency, Intellectual Property, Kindness, Equality, Creativity, Branding e Media",http://www.creativemint.io
Creativebug,2958870.0,"Creativebug, LLC",11-50 funcionários,1.0,"San Francisco, California",Educação à distância,not found,https://www.linkedin.com/company/2958870/about/,"Digital Subscription Platform, Media, Edutainment, Education, Technology, Online Courses, Online Art & Craft Courses, Video Production e Online Education",http://www.creativebug.com
Credit Suisse,1284.0,Credit Suisse,+ de 10.001 funcionários,1.0,,Bancos,27,https://www.linkedin.com/company/1284/about/,Private Banking & Wealth Management e Investment Banking,http://www.credit-suisse.com/
"CREO LANDSCAPE ARCHITECTURE AND URBAN DESIGN, INC",58599377.0,Creo Landscape Architecture Urban,2-10 funcionários,1.0,"San Francisco, California",,not found,https://www.linkedin.com/company/58599377/about/,,
,,Crimson Sv Inc,,0.0,,,,,,
Critical TechWorks,18678598.0,Critical TechWorks,501-1.000 funcionários,1.0,"Porto, Porto",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/18678598/about/,,http://www.criticaltechworks.com
CrossCap,611537.0,Crosscap,51-200 funcionários,1.0,"San Francisco, California",Software,not found,https://www.linkedin.com/company/611537/about/,"Marketing Strategy Management, Omni-channel Campaign Management, Marketing Calendar, Marketing Performance Measurement, In-store Marketing Planning & Execution, Signage, Online Proofing, Promotion Planning & Execution, Store Profiling, Marketing Calendar Software e Marketing Planning",http://www.crosscap.com/
Silicon Valley Crowd,42811739.0,Crowd Valley,0-1 funcionários,1.0,,Organização cívica e social,not found,https://www.linkedin.com/company/42811739/about/,,
Crowley,163268.0,Crowley,5.001-10.000 funcionários,1.0,"Jacksonville, Florida",Logística e cadeia de suprimentos,28,https://www.linkedin.com/company/163268/about/,"Shipping & Logistics, Vessel Management and Design/Architecture, Ocean Towing and Harbor Ship Assist and Escort, Fuel Sales & Distribution and Petroleum & Chemical Transportation, Government Service, Freight Forwarding, Ocean Cargo Transportation, Trucking, Global Project Logistics, Liquefied Natural Gas (LNG) Transportation and Engineering, Vessel Construction Management, Offshore Engineering and Project Management, Heavy-Lift Barge Transportation, Cold-Storage and Warehousing e Pool Point Distribution",http://www.crowley.com
Crown Castle International Corp de Puerto Rico,55308952.0,Crown Castle International,11-50 funcionários,1.0,,,not found,https://www.linkedin.com/company/55308952/about/,,
Crum & Forster,12751.0,Crum & Forster,1.001-5.000 funcionários,1.0,"Morristown, New Jersey",Seguros,13,https://www.linkedin.com/company/12751/about/,,http://www.cfins.com
Crunchyroll,167212.0,Crunchyroll,501-1.000 funcionários,1.0,"San Francisco, California",Entretenimento,9,https://www.linkedin.com/company/167212/about/,"community, streaming video, social-networking, anime, Asian entertainment, Japan, e-commerce e online media",http://www.crunchyroll.com/about
,,"Crunchyroll, Inc.",,0.0,,,,,,
,,"Cryptography Research, Inc.",,0.0,,,,,,
Crystal Clear Communications,5190931.0,Crystal Clear Communications,2-10 funcionários,1.0,"Oswego, IL",Marketing e publicidade,not found,https://www.linkedin.com/company/5190931/about/,"Strategy, Marketing, Communications, Content Marketing, Messaging, Presentation training, Media training, Crisis communications e Public relations",https://crystalclearcomms.com
CSA Group,459949.0,CSA Group,1.001-5.000 funcionários,1.0,"Toronto, Ontario",Segurança pública,15,https://www.linkedin.com/company/459949/about/,"Codes & Standards, Testing & Certification, Energy Efficiency Verification, Training & Education Programs, Personnel Certification, Standards Development, Marks & Labels, Cybersecurity, Third-Party Verification, Certification for North America, Certification for Global Markets, Industrial & Hazardous Locations Equipment, Medical & Laboratory Measurement Equipment, Home & Commercial Products, Power Generation & Energy Storage, Services for Retail, Functional Safety Evaluation & Certification, North American Field Evaluation Services, Electromagnetic Compatibility (EMC) e Construction & Building Products",http://www.csagroup.org
Cultivating Change Foundation,7805242.0,Cultivating Change Foundation,0-1 funcionários,1.0,"San Francisco, CA",Organização cívica e social,not found,https://www.linkedin.com/company/7805242/about/,Diversity and Inclusion Training,http://www.cultivatingchangefoundation.org/
Tailwind Cumming Holding Corp,63472421.0,Cumming Corp,2-10 funcionários,1.0,"New York, New York",,not found,https://www.linkedin.com/company/63472421/about/,,
Cummins Inc.,3625.0,Cummins,+ de 10.001 funcionários,1.0,"Columbus, Indiana",Indústria automotiva,2,https://www.linkedin.com/company/3625/about/,"Cummins Engine Business, Cummins Power Generation, Cummins Distribution Business, Cummins Turbo Technologies, Cummins Emission Solutions, Cummins Fuel Systems, Cummins Filtration e Cummins Electrified Power",http://www.cummins.com
Cummins Inc.,3625.0,Cummins Inc.,+ de 10.001 funcionários,1.0,"Columbus, Indiana",Indústria automotiva,2,https://www.linkedin.com/company/3625/about/,"Cummins Engine Business, Cummins Power Generation, Cummins Distribution Business, Cummins Turbo Technologies, Cummins Emission Solutions, Cummins Fuel Systems, Cummins Filtration e Cummins Electrified Power",http://www.cummins.com
CUNA Mutual Group,163299.0,CUNA Mutual,1.001-5.000 funcionários,1.0,"Madison, WI",Seguros,14,https://www.linkedin.com/company/163299/about/,"Insurance, Asset Management, Employee Benefits e Financial Services",http://www.cunamutual.com
Cushman & Wakefield,4060.0,"Cushman & Wakefield, Inc.",+ de 10.001 funcionários,1.0,"Chicago, IL",Imóveis comerciais,233,https://www.linkedin.com/company/4060/about/,"agency leasing, global occupier services, asset services, investment management (branded DTZ Investors), capital markets, project & development services, facility services (branded C&W Services), tenant representation and valuation & advisory, Real Estate, project management e Immobilier",http://www.cushmanwakefield.com
Custom IT S.A.,2743626.0,Custom IT,11-50 funcionários,1.0,"Capital Federal, Buenos Aires",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/2743626/about/,"Servicios de Consultoria IT Senior, Venta de Hardware y Software e Seguridad Informática",http://www.custom-it.com.ar
CUSTOM MEDIA WORKS INC,15931551.0,Custom Media Works,2-10 funcionários,1.0,"SAN FRANCISCO, California",,not found,https://www.linkedin.com/company/15931551/about/,,http://custommediaworks.com
"Custom Tech Solutions, Inc.",69124037.0,Custom Tech Solutions Inc.,0-1 funcionários,1.0,,Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/69124037/about/,,https://www.customtechsolutionsinc.com
Cutwater,31321.0,"Cutwater, LLC",11-50 funcionários,1.0,"San Francisco, California",Marketing e publicidade,not found,https://www.linkedin.com/company/31321/about/,"Social Media, Strategy, Advertising, Creative, Integrated Production, Content Creation, Media Planning, Media Buying, Brand Stewardship, Communications Planning, Print, Digital, Broadcast, Online Video, Design, Brand Identity, Radio, OOH, Website, SEO, SEM, Brand Platforms e Campaigns",http://www.cutwatersf.com/
CVB FINANCIAL CORP,62010843.0,CVB Financial Corp,,1.0,"San Diego, California",Serviços financeiros,not found,https://www.linkedin.com/company/62010843/about/,,
CVS Health,4680.0,CVS Health,+ de 10.001 funcionários,1.0,"Woonsocket, RI","Saúde, bem-estar e educação física",1.397,https://www.linkedin.com/company/4680/about/,"Healthcare, Pharmacy, Retail e Pharmacy Benefits Management",https://cvs.co/linkedinprofile
Code Brilliance Systems LLC,67714267.0,Cyber Code One,2-10 funcionários,1.0,,Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/67714267/about/,"Artificial Intelligence, Software Development, Internet of Things, Web Development, Mobile Development, Cyber Security, Risk Advisory, ISO 27001 e Data Analytics",https://codebrilliancesystems.com
,,Cybus Real Estate Services,,0.0,,,,,,
Czarnowski,28362.0,Czarnowski,501-1.000 funcionários,1.0,"Chicago, Illinois",Serviços para eventos,not found,https://www.linkedin.com/company/28362/about/,"Exhibit Marketing, Trade Shows, Exhibit Services, Custom Rental, Exhibit Design, Fabrication, Exhibit Installation and Dismantle, Exhibit Strategy, Fabrication, Event Marketing, Interactive Engagements, Automotive Marketing e Healthcare Marketing",http://www.czarnowski.com
DuPont,2155.0,D&H Distributing,+ de 10.001 funcionários,1.0,"Wilmington, DE",Indústria química,67,https://www.linkedin.com/company/2155/about/,"Science and engineering, Applications development, Electronics and Imaging, Safety and Construction, Transportation and Industrial markets, Water Solutions e Specialized Materials",http://www.dupont.com
Dacast,1273813.0,Dacast Llc,11-50 funcionários,1.0,"San Francisco, California",Mídia de difusão,not found,https://www.linkedin.com/company/1273813/about/,"Video streaming, Video on Demand, Live streaming, Pay Per View, OTT, CDN e Video hosting",https://www.dacast.com
,,DAIICHI SANKYO INC - NJ,,0.0,,,,,,
"Daiichi Sankyo, Inc.",7635.0,"Daiichi Sankyo, Inc.",1.001-5.000 funcionários,1.0,"Basking Ridge, NJ",Indústria farmacêutica,36,https://www.linkedin.com/company/7635/about/,"Daiichi Sankyo, Inc. currently markets therapies in hypertension, thrombotic disorders, stroke risk reduction, dyslipidemia, diabetes, acute coronary syndrome, opioid-induced constipation, IV iron therapy and metastatic melanoma.  In addition, our research and development is primarily focused on bringing forth novel therapies in oncology, including immuno-oncology, with additional focus on new horizon areas, such as pain management, neurodegenerative diseases, heart and kidney diseases, and other rare diseases. PP-US-NP-0246   08/17",http://www.dsi.com
Daimler AG,163329.0,DAIMLER,+ de 10.001 funcionários,1.0,"Stuttgart, Baden-Württemberg",Indústria automotiva,not found,https://www.linkedin.com/company/163329/about/,Auto Manufacturer e Financial Services,http://www.daimler.com
,,Dani de Andrade,,0.0,,,,,,
,,Dasheroo Inc.,,0.0,,,,,,
,,"Data Collective II, L.P.",,0.0,,,,,,
Sentek,559616.0,"Data Diviner, Inc.",11-50 funcionários,1.0,"Stepney, SA",Agricultura,not found,https://www.linkedin.com/company/559616/about/,"Soil moisture and solute monitoring and management, Knowledge in soil, water, plant and atmosphere dynamics, Turning high-quality data into useful information e Precision sensors, hardware and software tools",http://www.sentektechnologies.com
Data Virtuality,5355452.0,Data Virtuality Inc,11-50 funcionários,1.0,"Leipzig, Saxony",Software,not found,https://www.linkedin.com/company/5355452/about/,"Big Data, Business Intelligence, Data Integration, Data Warehouse, Data Virtualization e Logical Data Warehouse",http://www.datavirtuality.com
Data-Core Systems Inc.,254039.0,Data-Core Systems Inc.,1.001-5.000 funcionários,1.0,"Bristol, PA",Tecnologia da informação e serviços,3,https://www.linkedin.com/company/254039/about/,"Automation, ROI Automation Assessments, Consulting & R&D, Automated Testing, Automated Machine Learning, Automated Security Testing, Automated Data Management, Automated Software Testing, Consulting Services, Cloud, Real Time Analytics e Predictive Analytics",https://datacoresystems.com/
DataBlick LLC,1411188.0,Datablick LLC,,1.0,,Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/1411188/about/,,
Databricks,3477522.0,Databricks,1.001-5.000 funcionários,1.0,"San Francisco, CA",Software,48,https://www.linkedin.com/company/3477522/about/,"Apache Spark, Apache Spark Training, Cloud Computing, Big Data, Data Science e Unified Analytics Platform",https://databricks.com
,,"Databricks, Inc.",,0.0,,,,,,
DataFox,3231060.0,Datafox,51-200 funcionários,1.0,"San Francisco, CA",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/3231060/about/,"prospecting, growth equity, outbound sales, data science, machine learning, crm orchestration e company intelligence",http://www.datafox.com
,,"Dataloop Software, Inc.",,0.0,,,,,,
DataWay Multimedia South Inc.,11478562.0,"Dataway, Inc.",0-1 funcionários,1.0,"Roswell, Georgia",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/11478562/about/,,http://www.dwsouth.com
The Davey Tree Expert Company,50354.0,Davey Tree,5.001-10.000 funcionários,1.0,"Kent, Ohio",Serviços ambientais,32,https://www.linkedin.com/company/50354/about/,"tree services, grounds maintenance e environmental consulting services",http://www.davey.com
SOUTHERN DAVID A,59165743.0,David A Southern,11-50 funcionários,1.0,"San Francisco, California",Varejo,not found,https://www.linkedin.com/company/59165743/about/,,http://davidsouthernfineart.com
DAVID Corporation,245352.0,David Corporation,11-50 funcionários,1.0,"Wakefield, MA",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/245352/about/,"Risk Management Software (NAVRISK Suite), Risk Pools, Self-Insured Groups (SIGs), TPAs & Specialty Insurers, RMIS, Claims Administration Software, Policy Administration and Underwriting Software, MGAs/MGUs e Workers'​ Comp Claims Software",http://www.davidcorp.com
,,"David Teter Consulting, LLC",,0.0,,,,,,
"Dayton Freight Lines, Inc.",63199.0,"Dayton Freight Lines, Inc.",1.001-5.000 funcionários,1.0,"Dayton, Ohio",Transporte/Caminhões/Trens,1,https://www.linkedin.com/company/63199/about/,"Less-than-truckload Transportation Services, Transportation, LTL, Management, Logistics, Trucking, Supervisors, Midwest, Operations Management, Leadership, Training and Development, Customer Service, Service, Servant Leadership, Sales e Billing",http://www.daytonfreight.com
"Transamerica Financial Advisors, Inc.",1135292.0,Dealer Consult,51-200 funcionários,1.0,"St. Petersburg, FL",Serviços financeiros,not found,https://www.linkedin.com/company/1135292/about/,Independent Broker/Dealer,http://www.tfaconnect.com
DECA Dental Group,10110776.0,DECA Dental Group,501-1.000 funcionários,1.0,"Dallas, TX",Atendimento médico e hospitalar,not found,https://www.linkedin.com/company/10110776/about/,,http://www.decadental.com
,,"Dedrone Holdings, Inc.",,0.0,,,,,,
,,"Degreed, Inc.",,0.0,,,,,,
"Furbabies Delectable Delights, Inc.",238779.0,"Delectable, Inc.",2-10 funcionários,1.0,"Chandler, Az",Varejo,not found,https://www.linkedin.com/company/238779/about/,"all natural human-grade ingredient dog treats, all natural human-grade ingredients occasion dog cakes e all natural human grade-ingredient wheat-free dog treats",http://www.furbabiesdelectabledelights.com
,,"Delfina Restaurant, Inc.",,0.0,,,,,,
Delicious Monster Software,1814742.0,Delicious Monster Software,2-10 funcionários,1.0,"San Francisco, CA",Software,not found,https://www.linkedin.com/company/1814742/about/,"Mac OS X, Cocoa e iOS",http://delicious-monster.com/
Deliverr Inc.,18258498.0,Deliverr Inc.,51-200 funcionários,1.0,"San Francisco, California",Internet,15,https://www.linkedin.com/company/18258498/about/,"eCommerce, Fulfillment e Multi-Channel",https://deliverr.com/
Dell Technologies,15088102.0,DELL,+ de 10.001 funcionários,1.0,"Round Rock, Texas",Tecnologia da informação e serviços,256,https://www.linkedin.com/company/15088102/about/,"Digital Transformation, Security Transformation, IT Transformation e Workforce Transformation",http://www.delltechnologies.com
Dell Technologies,15088102.0,Dell Technologies,+ de 10.001 funcionários,1.0,"Round Rock, Texas",Tecnologia da informação e serviços,256,https://www.linkedin.com/company/15088102/about/,"Digital Transformation, Security Transformation, IT Transformation e Workforce Transformation",http://www.delltechnologies.com
Deloitte,1038.0,Deloitte,+ de 10.001 funcionários,1.0,"New York, NY",Consultoria de gerenciamento,5.946,https://www.linkedin.com/company/1038/about/,"Audit, Consulting, Financial Advisory, Risk Management e and Tax services",http://www.deloitte.com/
,,Deltadna Inc.,,0.0,,,,,,
Demandforce,89760.0,Demandforce,201-500 funcionários,1.0,"San Francisco, CA",Software,not found,https://www.linkedin.com/company/89760/about/,"Dental, Medical, Lifestyle, Automotive, Veterinary, Optometry, Chiropractic, Financial Services, Salon and Spa, Podiatry, Marketing Automation, Customer Communications e Email Marketing",http://www.demandforce.com
,,"Denise Maloney Interior Design, Inc.",,0.0,,,,,,
,,Denise Satange,,0.0,,,,,,
DENSO,136866.0,Denso,+ de 10.001 funcionários,1.0,"Kariya, Japan",Indústria automotiva,8,https://www.linkedin.com/company/136866/about/,"Climate Control, Head-up Display, Automotive Aftermarket, Human Machine Interface, Electric/Hybrid Components, Safety, Robotics, V2X (Connected Vehicle) Technology, Wireless Charging, Mobility, Electrification e Connected Cars",https://www.denso.com/us-ca/en/
Dentsply Sirona,163416.0,Dentsply Sirona,+ de 10.001 funcionários,1.0,"Charlotte, North Carolina",Dispositivos médicos,25,https://www.linkedin.com/company/163416/about/,"Preventive, Restorative, Orthodontics, Prosthetics, Endodontics, Implants, Healthcare, Imaging, Instruments e CAD/CAM",http://www.dentsplysirona.com
U.S. Department of Veterans Affairs,23789.0,Department of Veterans Affairs,+ de 10.001 funcionários,1.0,"Washington, DC",Administração governamental,2,https://www.linkedin.com/company/23789/about/,"Veterans Health Administration, Veterans Benefits Administration e National Cemetery Administration",https://www.va.gov/
Derse,30509.0,Derse,201-500 funcionários,1.0,"Milwaukee, WI",Serviços para eventos,not found,https://www.linkedin.com/company/30509/about/,"Complete Face-to-Face Marketing: Trade Shows, Marketing Environments, Events; Strategic Planning, Experiential Marketing, Award-winning Creative, Market Research, Measurement & Metrics e Program Management",http://www.derse.com
Desjardins,6331.0,Desjardins,+ de 10.001 funcionários,1.0,"Lévis, Québec",Bancos,1,https://www.linkedin.com/company/6331/about/,Services financiers,http://www.desjardins.com/fr/bienvenue.jsp
Detroit Medical Center,12781.0,Detroit,+ de 10.001 funcionários,1.0,"Detroit, Michigan",Atendimento médico e hospitalar,16,https://www.linkedin.com/company/12781/about/,"Cardiology (Cardio Team One), Emergency Trauma, Rehabilitation, Spinal Cord Injury Recovery, Adult & Pediatric Neurosurgery, Burn Center, Bariatric Services, Neonatal Intensive Care, Glaucoma, Stroke Services, Cancer Treatment, Sleep Medicine e Orthopaedics",http://www.dmc.org
