id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,,,
68,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Executiva (o) de Vendas - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#Vendas #carreira #tecnologia #ti #iteris #carreiraiterishttps://lnkd.in/eyV2xT8'",35,0,0,"#Vendas, #carreira, #tecnologia, #ti, #iteris, #carreiraiterishttps://lnkd.in/eyV2xT8'",linkedin,,,
75,iteris-consultoria-e-software,,2020-10-20,"Você é apaixonado por tecnologia, tem atitude e espírito colaborativo e busca a excelência nos resultados?Então vem fazer acontecer com a gente!Dev Front-end React Pl/Sr - Home OfficeEssa vaga não corresponde ao seu perfil? Acesse nossa página de carreiras e confira outras oportunidades ou cadastre seu currículo em nosso banco de talentos.#Dev #frontend #react #carreira #tecnologia #ti #iteris #carreiraiteris https://lnkd.in/eRx2WAd'",11,0,0,"#Dev, #frontend, #react, #carreira, #tecnologia, #ti, #iteris, #carreiraiteris",linkedin,,,
114,iteris-consultoria-e-software,,2020-10-20,"Hoje é o dia da menina da informática, do carinha que programa. É o dia do profissional que transforma códigos em soluções, fazendo nossa ponte com o futuro. Hoje, mais do que parabenizar essas pessoas, gostaríamos de agradecer aos mais de 400 profissionais que fazem parte da nossa história ajudando nossos clientes em seus desafios de TI. Vocês são incríveis!#TI #ProfissionaisTI #ProfissionaisIteris #Iteris'",92,2,0,"#TI, #ProfissionaisTI, #ProfissionaisIteris, #Iteris'",linkedin,,,
116,iteris-consultoria-e-software,,2020-10-20,"Nas frentes de Data & Analytics, Mobile e Front-end, os meetups das últimas duas semanas foram um sucesso e proporcionaram muita troca de experiência entre nossos colaboradores.O Bruno Mass falou sobre a Lei de Benford e como ela pode ser aplicada na identificação de fraudes. Ah, ele inclusive já escreveu um artigo sobre isso https://bityli.com/T79u8.Depois foi a vez do Rafael Freitas, MBA, que trouxe o tema iOS: build from scratch, mostrando como podemos criar uma aplicação ou uma APP do zero usando Swift,l assim como a importância de sabermos a diferença entre a biblioteca dinâmica e a estática.Para finalizar, a Letícia Rodrigues Gonçalves e o Matheus Nogueira apresentaram um meetup sobre como fazer testes automatizados usando a React Testing Library e suas vantagens.#dataeanalytics #mobile #frontend #meetups #Iteris'",39,0,0,"#dataeanalytics, #mobile, #frontend, #meetups, #Iteris'",linkedin,,,
117,iteris-consultoria-e-software,,2020-10-20,"Considerado como o segundo tipo de câncer que mais acomete as mulheres brasileiras, você sabia que os homens também podem ser diagnosticados  com câncer de mama?Embora a proporção seja muito menor, apenas 1% dos casos de câncer de mama são diagnosticados em homens, as melhores maneiras para prevenir a doença são:   - Atentar-se aos sinais de dor, sensibilidade, caroços ou aumento do volume das mamas.   - Procurar ter uma rotina saudável por meio da prática de exercícios físicos e de uma boa alimentação .   - Realizar acompanhamento médico caso tenha histórico familiar.#QuantoAntesMelhor #OutubroRosa #CâncerDeMama'",60,0,0,"#QuantoAntesMelhor, #OutubroRosa, #CâncerDeMama'",linkedin,,,
120,iteris-consultoria-e-software,,2020-10-20,"O mês de setembro foi marcado por diversas ações e comunicações sobre saúde mental. Porém, agora vem a parte mais importante: dar continuidade aos projetos de apoio.Uma forma de manter e apoiar aqueles que precisam é estimular o equilíbrio e a pratica de atividades prazerosas que ajudam na distração e no relaxamento da mente.Além disso, de acordo com a CVV, alguns outros fatores também podem ser protetivos, como:     - Aumentar o contato com familiares e amigos;    - Buscar e seguir um tratamento adequado;    - Envolvimento em atividades religiosas ou espirituais;    - Reduzir ou evitar o uso de álcool e outras drogas.Lembre-se: sua vida importa!#contecomagente #contecomigo #setembroamarelo #valorizaçãodavida'",56,0,0,"#contecomagente, #contecomigo, #setembroamarelo, #valorizaçãodavida'",linkedin,,,
39,invillia,,2020-10-20,"Também adoramos todas as possibilidades que a inteligência artificial criou e ainda vai proporcionar. Mas gostamos ainda mais do outro algoritmo - totalmente humano - que o trouxe até aqui: a curiosidade (Qual?). Curiosidade por coisas novas, inovação, desafios_ Sim. (Você) é a única resposta correta_ Junte suas ideias, sua originalidade à nossa: https://lnkd.in/diFsKe9  #Invillia #InnovationThatNeverStops #EngagedbyData #EngagedbyPeople #EngagedbyAction #GlobalGrowthFramework #ForGameChangers'",30,1,971,"#Invillia, #InnovationThatNeverStops, #EngagedbyData, #EngagedbyPeople, #EngagedbyAction, #GlobalGrowthFramework, #ForGameChangers'",linkedin,,,
58,gft-group,,2020-10-20,"Já viu nosso programação para a 5º edição do GFT Technology Workshop? Vamos falar sobre as principais tendências de tecnologia como API, Hyperautomation e QA Engineering! Entre os speakers confirmados estão Claudio Acquaviva, arquiteto de software da Kong Inc, Alberto do Bem, da IBM, Wilson Amorim, analista de qualidade do Grupo GFT! Além de aprender mais sobre TI, você ainda pode concorrer a prêmios!  Fique ligado! O evento é neste sábado, 3, das 09h às 13h! Ainda dá tempo de se inscrever: https://bit.ly/3kpIinm'",42,0,0,,linkedin,,,
62,gft-group,,2020-10-20,GFT Group is hosting Webinar: The beauty of things. Would you like to attend?',9,1,0,,linkedin,,,
64,gft-group,,2020-10-20,GFT Technologies terrà l’evento Webinar: The beauty of things. Vorresti partecipare?',39,0,0,,linkedin,,,
