company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Ashfords LLP,98237.0,Ashfords LLP,501-1.000 funcionários,True,NF,Prática jurídica,0.0,https://www.linkedin.com/company/98237/about/,"Corporate & Commercial, Banking, IP/IT, Employment, Dispute Resolution, Insolvency, Real Estate, Construction, Local Government, Planning, Projects, Family & Crime, Trusts and Estates, Personal Injury, Conveyancing, Business Risk, Education, Marine, Energy e Equity Release",0,http://www.ashfords.co.uk/,,,,,
Ashley Furniture Industries,162547.0,Ashley Furniture Industries,+ de 10.001 funcionários,True,"Arcadia, WI",Móveis,,https://www.linkedin.com/company/162547/about/,"Manufacturing, Retail e Distribution",588,http://www.ashleyfurniture.com,,,,,
Ashton Woods Homes,23189.0,Ashton Woods Homes,501-1.000 funcionários,True,"Roswell, Georgia",Imobiliário,0.0,https://www.linkedin.com/company/23189/about/,"New Townhome Construction, New Home Construction, Energy Efficient Homes, Platinum Level Environments for Living, Design e Personalization",0,http://www.ashtonwoods.com,,,,,
Ashurst,162548.0,Ashurst,1.001-5.000 funcionários,True,"London, England",Prática jurídica,0.0,https://www.linkedin.com/company/162548/about/,NF,0,https://www.ashurst.com,,,,,
ASMAR,138956.0,Asmar & Assayag,1.001-5.000 funcionários,True,"Valparaiso, Valparaiso",Construção naval,0.0,https://www.linkedin.com/company/138956/about/,"Construcción Naval, Ingeniería de Armamentos, Sistemas, Mecánica de Armamentos, Electrónica, Combustión Interna, Diques, Electricidad, Mecánica, Calderas, Metalurgia, Estructuras, Laboratorio de patrones, Botes neumáticos y semirígidos profesionales e Astilleros de reparación y mantención de naves",0,http://www.asmar.cl,,,,,
ASML,3894.0,ASML,+ de 10.001 funcionários,True,NF,Semicondutores,0.0,https://www.linkedin.com/company/3894/about/,"semiconductor, technology, hardware, software, services e lithography machine",0,https://www.asml.com/en/careers,,,,,
Assert Tecnologia,11826007.0,Assert Tecnologia,11-50 funcionários,True,"Florianópolis, Santa Catarina",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/11826007/about/,NF,0,http://www.asserttecnologia.com.br/,,,,,
ASSESPRO Nacional - Federação das Empresas Brasileiras de Tecnologia da Informação,1573489.0,ASSESPRO,2-10 funcionários,True,"Brasília, Distrito Federal",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/1573489/about/,"Tecnologia, TIC, Software, inovação e startup",0,http://www.assespro.org.br,,,,,
ASSESPRO Nacional - Federação das Empresas Brasileiras de Tecnologia da Informação,1573489.0,ASSESPRO Nacional - Federação das Empresas Brasileiras de Tecnologia da Informação,2-10 funcionários,True,"Brasília, Distrito Federal",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/1573489/about/,"Tecnologia, TIC, Software, inovação e startup",0,http://www.assespro.org.br,,,,,
,,Assespro-PR - Associação das Empresas Brasileiras de Tecnologia da Informação,,False,,,,,,,,,,,,
Assespro-PR,2199367.0,Assespro-PR - Brazilian Association of Information Technology Companies,2-10 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/2199367/about/,"Software, Tecnologia, Negócios, TIC, IT, Inovação, Empreendedorismo, Estudos Setoriais, Informação e Tendências",0,http://www.assespropr.org.br,,,,,
,,Assessor Politico,,False,,,,,,,,,,,,
Assessoria Bellinati Perez Ltda,28370545.0,Assessoria Bellinati Perez Ltda,11-50 funcionários,True,"Curitiba, Pr",Serviços financeiros,0.0,https://www.linkedin.com/company/28370545/about/,NF,0,http://bellinati.com.br,,,,,
Associação Evangelizar É Preciso,1458599.0,Associação Evangelizar É Preciso,201-500 funcionários,True,"Curitiba , Paraná",Organização cívica e social,,https://www.linkedin.com/company/1458599/about/,NF,1,https://www.padrereginaldomanzotti.org.br/,,,,,
